0 SPEKTR R
1 36965U 07003AB  15127.62169914 -.00000556  00000-0 -13179-1 0  9993
2 36965 026.3447 328.3594 7588269 016.4988 002.5174 01.74818844 36993
0 CZ-3A DEB
1 36971U 07003AH  15127.73811280 -.00000176  00000-0  00000+0 0  9996
2 36971 025.7398 304.6289 7610625 060.6593 353.8542 01.75695580 41157
0 IUE DEB
1 33000U 78012D   15122.39769264 -.00000255  00000-0  00000+0 0  9993
2 33000 043.9016 341.0942 2084354 214.1149 309.6253 01.00395202 26628
0 CZ-3A DEB
1 36970U 07003AG  15126.72469455 -.00000548  00000-0 -33928-1 0  9997
2 36970 026.2842 348.2564 7511405 348.0308 008.4517 01.76662272 47221
0 CZ-3B DEB
1 40183U 11077G   15128.11575089  .00001532  00000-0  14411-1 0  9998
2 40183 022.0992 351.1643 7585174 073.2709 351.1601 01.81336306 12731
0 CZ-3A DEB
1 35548U 07003G   15124.73144132 -.00000176  00000-0  38119-3 0  9993
2 35548 025.8490 278.8585 7535731 099.4990 001.6526 01.82231914 43388
0 CZ-3A DEB
1 38670U 07003AJ  15120.20879118  .00001778  00000-0  18548+0 0  9997
2 38670 027.1672 342.6935 7430835 341.3286 002.0367 01.81692113 31105
0 CZ-3B DEB
1 40182U 11077F   15125.89897456  .00001385  00000-0  11810-1 0  9990
2 40182 023.3010 346.5544 7566098 071.5223 351.5388 01.83963389926109
0 CZ-3B DEB
1 39337U 10042J   15127.12982153  .00000157  00000-0  65016-2 0  9992
2 39337 024.6193 125.5299 7506561 241.4411 026.0250 01.83101602 21518
0 CZ-3A DEB
1 39598U 07003AK  15127.00864256 -.00000368  00000-0 -17200-1 0  9991
2 39598 026.3571 325.5077 7455785 020.9720 358.1555 01.82398226 34101
0 CZ-3B DEB
1 40184U 11077H   15127.75553421  .00001825  00000-0  56220-2 0  9994
2 40184 022.5927 335.9524 7591234 095.8669 345.8839 01.84873224 14892
0 SCATHA
1 11256U 79007A   15125.56748244 -.00000354  00000-0  00000+0 0  9994
2 11256 017.8941 338.1830 1792047 001.0544 198.9000 01.01529400101053
0 SCATHA AKM
1 29000U 79007C   15126.99848938 -.00000328  00000-0  00000+0 0  9990
2 29000 017.8284 338.2179 1772884 000.9355 326.0738 01.01591305 36682
0 CZ-3A DEB
1 40156U 07003AQ  15120.74704879  .00000294  00000-0  11689-1 0  9992
2 40156 026.2048 278.8562 7511279 091.0724 346.9447 01.84295112 34000
0 CZ-3A DEB
1 35554U 07003N   15127.54622954  .00002124  00000-0  39426-1 0  9999
2 35554 024.3228 267.7091 7515567 157.4628 271.4737 01.84710413 49672
0 CZ-3B DEB
1 40181U 11077E   15125.26994417 -.00007437  00000-0 -25969-1 0  9991
2 40181 022.7124 338.0847 7570057 092.3770 346.4677 01.86268361 13457
0 CZ-3A DEB
1 36968U 07003AE  15126.48795858  .00002599  00000-0  18106-1 0  9993
2 36968 025.8124 247.7632 7546997 154.3009 281.2814 01.86515497 53523
0 CZ-3A DEB
1 36967U 07003AD  15125.64842586 -.00000418  00000-0 -41582-1 0  9994
2 36967 027.6292 339.8585 7383989 337.6590 002.3654 01.84649929 53350
0 BREEZE-M R/B
1 37952U 11074C   15127.13484235 -.00000159  00000-0  00000+0 0  9990
2 37952 002.4757 052.1396 0728779 109.8348 079.6327 00.89626881 10858
0 IUE
1 10637U 78012A   15127.47476735 -.00000249  00000-0  00000+0 0  9999
2 10637 043.8333 346.7104 1500950 196.5181 138.0814 01.00060994 88964
0 BREEZE-M R/B
1 36398U 10006B   15127.17900777 -.00000145  00000-0  00000+0 0  9990
2 36398 004.5637 068.1690 0470097 345.5966 088.0505 00.86944129 16580
0 CZ-3B DEB
1 40193U 11077S   15124.20844214 -.00000243  00000-0 -43159-2 0  9996
2 40193 026.6485 011.1211 7427059 002.2585 000.0274 01.86723900 13556
0 CZ-3A DEB
1 35563U 07003X   15121.41292978  .00001170  00000-0  16068-1 0  9995
2 35563 022.2404 243.7151 7494297 225.9284 041.4024 01.88670187 45803
0 CZ-3B DEB
1 39334U 10042F   15127.27542794 -.00000042  00000-0  00000+0 0  9991
2 39334 025.7899 158.5019 7307684 172.9372 142.0067 01.86358519 26137
0 BREEZE-M R/B
1 38868U 12057B   15128.18997867 -.00000160  00000-0  00000+0 0  9997
2 38868 001.9957 079.0510 0513421 326.9124 229.2395 00.88385243  8271
0 CZ-3A DEB
1 35558U 07003S   15128.21109372  .00001498  00000-0  14570-1 0  9998
2 35558 022.7404 232.7524 7497035 234.1425 031.2861 01.89850379 48933
0 BREEZE-M R/B
1 39614U 14010C   15126.57288477 -.00000138  00000-0  00000+0 0  9994
2 39614 000.8154 077.3054 0680958 336.0510 312.7592 00.90580344  3783
0 CZ-3B DEB
1 39333U 10042E   15127.62740858 -.00000040  00000-0  25190-2 0  9998
2 39333 023.7481 097.3252 7482708 299.2906 241.7032 01.90519156 23112
0 CZ-3B DEB
1 40185U 11077J   15125.32535677  .00000866  00000-0  10821-1 0  9999
2 40185 025.7074 338.1836 7492646 063.8475 352.6907 01.91078047 13573
0 CZ-3A DEB
1 36966U 07003AC  15126.58037598 -.00000050  00000-0  10628-1 0  9994
2 36966 024.6466 278.3412 7386835 131.4446 320.2229 01.89602109 42349
0 CZ-3B DEB
1 40186U 11077K   15126.98261070 -.00000148  00000-0  00000+0 0  9996
2 40186 026.3798 022.9971 7319527 343.7660 001.9623 01.88723341 23260
0 INTELSAT 3-F3
1 03674U 69011A   15126.47354884 -.00000180  00000-0  00000+0 0  9994
2 03674 018.2215 334.5518 0169563 272.8829 023.7615 00.84930897163033
0 CZ-3B DEB
1 40158U 10042K   15125.47818496 -.00000027  00000-0  00000+0 0  9995
2 40158 026.0127 152.6995 7285213 180.7120 176.9647 01.88685544937426
0 CZ-3B DEB
1 40189U 11077N   15126.08326011 -.00000163  00000-0  28060-2 0  9993
2 40189 026.8452 007.6601 7375774 005.7177 359.6435 01.90351306 16996
0 CZ-3B DEB
1 40188U 11077M   15126.92659537 -.00000766  00000-0 -21746-1 0  9990
2 40188 027.0735 357.6486 7414263 020.5964 358.1215 01.91143048 17171
0 CZ-3A DEB
1 35550U 07003J   15127.50861406  .00004439  00000-0  78738-2 0  9999
2 35550 023.4368 203.1553 7532428 266.1445 013.9358 01.93172222 49869
0 BREEZE-M R/B
1 39488U 13077B   15126.27592223 -.00000138  00000-0  00000+0 0  9999
2 39488 000.7171 046.4614 0499138 130.0267 183.8568 00.89566030  4525
0 CZ-3B DEB
1 40187U 11077L   15127.05418231 -.00000192  00000-0  00000+0 0  9998
2 40187 026.6449 002.3325 7385183 016.4716 358.4878 01.90938326 17077
0 CZ-3B DEB
1 40179U 11077C   15126.45722538 -.00000151  00000-0  64880-3 0  9995
2 40179 026.1161 349.2801 7430307 042.2105 355.6471 01.91765656 10193
0 CZ-3A DEB
1 35552U 07003L   15126.79639112  .00004012  00000-0  10399-1 0  9993
2 35552 025.5100 207.8427 7515317 219.7242 036.3385 01.93481287 50816
0 ATLAS 2 CENTAUR R/B
1 21804U 91083B   15127.89605823 -.00000171  00000-0 -46810-2 0  9995
2 21804 017.6569 343.6104 7359076 321.3737 225.6049 01.91146681163572
0 CZ-3B DEB
1 40164U 10042R   15125.48994070 -.00000014  00000-0  00000+0 0  9992
2 40164 026.6299 157.4439 7261996 164.9393 241.6988 01.89854821 20094
0 CZ-3B DEB
1 40160U 10042M   15127.46512005 -.00000016  00000-0  00000+0 0  9994
2 40160 026.5171 162.8976 7240717 156.5819 268.7643 01.89882100 10102
0 CZ-3B DEB
1 39332U 10042D   15098.91977377  .00009655  00000-0  19106-1 0  9993
2 39332 023.8584 085.4060 7516126 320.1815 003.8791 01.94560421 24728
0 CZ-3B DEB
1 40191U 11077Q   15126.09927463  .00000550  00000-0  80506-2 0  9997
2 40191 026.6594 339.0128 7452693 053.3963 354.2453 01.93556620921487
0 BLOCK DM-SL R/B
1 27446U 02030B   15126.29593155 -.00000096  00000-0  75093-3 0  9995
2 27446 000.9926 024.7865 7505411 000.7803 357.7087 01.94771937 91346
0 CZ-3B DEB
1 40163U 10042Q   15124.23622173 -.00000085  00000-0  79656-2 0  9999
2 40163 027.5408 121.3435 7351790 216.0502 059.1252 01.92532346 23171
0 BREEZE-M R/B
1 40259U 14058B   15127.18567683 -.00000110  00000-0  10000-3 0  9995
2 40259 000.4845 070.6089 0571051 124.5895 162.9912 00.91687512  2041
0 SL-12 R/B(2)
1 26629U 00077D   15126.58284918  .00000121  00000-0  00000+0 0  9992
2 26629 061.7943 208.1334 4382670 265.4376 235.7977 01.45598919 76601
0 CZ-3B DEB
1 40165U 10042S   15124.89006218 -.00000096  00000-0  00000+0 0  9995
2 40165 027.8414 122.3418 7342444 211.2616 069.1076 01.92855405 25502
0 CZ-3B R/B
1 39158U 13020B   15127.16795920  .00014385  00000-0  30206-2 0  9991
2 39158 026.5570 236.5376 7546313 189.8738 135.2544 01.96677684 14067
0 PAS 6
1 24891U 97040A   15126.55084167 -.00000167  00000-0  00000+0 0  9999
2 24891 013.9254 352.1021 0693742 157.4866 121.1712 00.93699003 61159
0 ARIANE 1 DEB
1 27732U 79104S   15127.81949285  .00000008  00000-0 -67757-2 0  9997
2 27732 016.3415 070.1875 7310009 209.5170 073.6693 01.93208043100493
0 GOES 7 AKM
1 28520U 87022F   15125.41736218 -.00000304  00000-0  00000+0 0  9999
2 28520 015.3246 356.5200 1059330 337.4149 354.2275 00.98770334 37316
0 BREEZE-M R/B
1 39729U 14023C   15127.17534106 -.00000131  00000-0  10000-3 0  9993
2 39729 001.4796 032.6459 0579482 155.0229 206.9587 00.92544764  3479
0 CZ-3B DEB
1 40162U 10042P   15126.15557740  .00000019  00000-0  00000+0 0  9998
2 40162 026.3988 163.3022 7197802 157.7181 264.4304 01.92029882 17420
0 SL-6 R/B(2)
1 23645U 95042D   15126.51663836  .00001318  00000-0 -18669-3 0  9990
2 23645 061.7142 126.5097 7427088 271.3191 336.5839 01.95985630141260
0 SL-6 R/B(2)
1 25488U 98054D   15126.36804722 -.00001155  00000-0 -11858-4 0  9991
2 25488 062.3356 287.8247 7450907 257.6467 061.7313 01.96494240119091
0 SL-6 R/B(2)
1 08018U 75063D   15126.89183658 -.00001099  00000-0  94854-4 0  9995
2 08018 062.6780 343.0952 7460922 250.3465 020.9932 01.96836574286043
0 SL-6 R/B(2)
1 07800U 75036D   15126.22031657  .00001212  00000-0  70221-3 0  9998
2 07800 062.7245 350.3611 7448127 253.3263 019.6166 01.96649994287349
0 SL-6 R/B(2)
1 08418U 75081D   15125.23076246 -.00000390  00000-0  30130-3 0  9999
2 08418 062.0694 294.4091 7489492 254.5306 018.7003 01.97505795284996
0 SL-6 R/B(2)
1 28164U 04005B   15126.36462275  .00000867  00000-0  49044-4 0  9996
2 28164 064.3532 052.1022 7442591 244.3436 322.9478 01.96942749 80651
0 SL-6 R/B(2)
1 08462U 75105D   15127.38153867 -.00001407  00000-0  24975-3 0  9998
2 08462 062.2839 311.0211 7475878 249.7107 021.2256 01.98125531284228
0 ARIANE 1 DEB
1 28556U 79104V   15122.69535091 -.00000637  00000-0 -21401-1 0  9993
2 28556 016.3270 342.1565 7316293 026.7564 332.8326 01.95601627 91671
0 ARIANE 1 DEB
1 28557U 79104W   15126.47112308 -.00000278  00000-0 -23836-2 0  9992
2 28557 018.8469 164.0444 7400740 137.7290 000.1012 01.97194999 94688
0 SL-6 R/B(2)
1 21429U 91043D   15127.61895255 -.00000610  00000-0  00000+0 0  9999
2 21429 063.0370 347.0138 7367924 284.4635 010.2209 01.96663479171560
0 SL-6 R/B(2)
1 24963U 97054D   15126.62391370  .00000840  00000-0  20618-3 0  9997
2 24963 061.8862 141.2905 7475901 267.7115 270.9653 01.98826213126855
0 CZ-3B DEB
1 39335U 10042G   15127.85537369 -.00000041  00000-0  89323-2 0  9995
2 39335 027.4886 098.9923 7366572 252.4928 021.1377 01.97134056 27835
0 CZ-3B DEB
1 40169U 10042W   15128.01514472 -.00000066  00000-0  00000+0 0  9990
2 40169 026.2753 157.5034 7171691 169.5639 222.7514 01.93919374 19114
0 CZ-3B DEB
1 40167U 10042U   15126.44658533 -.00000065  00000-0  00000+0 0  9999
2 40167 026.2805 169.0079 7151114 148.1015 288.6773 01.93632408 17909
0 SL-6 R/B(2)
1 10949U 78055E   15125.95356177  .00001191  00000-0 -13342-2 0  9993
2 10949 063.0093 087.7827 7338491 262.0117 017.0807 01.96985024160171
0 SL-6 R/B(2)
1 25850U 99036D   15128.16234391 -.00000526  00000-0  00000+0 0  9996
2 25850 063.3077 051.8535 7311739 256.8531 339.7512 01.96647776113701
0 SL-6 R/B(2)
1 10485U 77105E   15126.95624235  .00001347  00000-0  65595-3 0  9997
2 10485 063.1961 074.5736 7329552 258.5664 018.5600 01.97230023270025
0 SL-6 R/B(2)
1 11847U 80050B   15127.91138034 -.00000948  00000-0  59597-3 0  9999
2 11847 063.9652 134.2929 7459459 005.8938 359.4014 01.99529970253917
0 CZ-3B DEB
1 39336U 10042H   15126.01748478  .00008783  00000-0  23238-1 0  9990
2 39336 024.5994 076.0759 7461186 330.2571 003.0170 01.99654398 23355
0 MOLNIYA 1-93
1 28163U 04005A   15127.75226907  .00000178  00000-0  13150-3 0  9992
2 28163 063.8797 027.1158 7487922 243.7854 024.5302 02.00673670 82173
0 MOLNIYA 2-10
1 07376U 74056A   15127.83688797 -.00000671  00000-0  34215-3 0  9990
2 07376 061.6200 071.5629 7474727 280.4047 010.5621 02.00534774298166
0 MOLNIYA 3-47
1 23642U 95042A   15127.33386995 -.00002358  00000-0  00000+0 0  9997
2 23642 061.9913 066.1295 7480654 274.9059 011.8519 02.00663576144680
0 SL-6 R/B(2)
1 13075U 82015D   15125.50496842  .00000524  00000-0 -22138-2 0  9994
2 13075 063.2637 301.6507 7269677 262.1194 017.5445 01.97150477238893
0 MOLNIYA 1-87
1 22949U 93079A   15127.32714803 -.00002635  00000-0  00000+0 0  9994
2 22949 061.6338 089.9361 7450641 274.4794 012.1638 02.00325020156664
0 MOLNIYA 1-62
1 15214U 84089A   15124.58500229 -.00001490  00000-0 -84390-2 0  9998
2 15214 063.7836 025.4866 7291736 262.1718 014.6437 01.97950053192771
0 CZ-3B DEB
